,AcceptedAnswerId,AnswerCount,Body,ClosedDate,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,Id,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerDisplayName,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount,body_text
10,,,"<p>When I'm thinking about where I learned most how to write, I think that <em>reading</em> was the most important guide to me. This may sound silly, but by reading good written newspaper articles (facts, opinions, scientific articles and most of all, criticisms of films and music), I learned how others did the job, what works and what doesn't. In my own writing, I try to mimic other people's styles that I liked. Moreover, I learn new things by reading, giving me a broader background that I need when reflecting a certain topic.</p>

<p>Every now and then I still read the free, local tabloid and recognize many mistakes I would have made when I would not have read quality material earlier in life. Of course there are books about journalistic writing and I read some (titles will be added later), but I guess that reading forms the best learning school until today.</p>

<p>I now see that I didn't answer your actual question about online guides, but I hope it's helpful after all.</p>
",,3,,2010-11-18T20:50:16.683,,15,2010-11-18T21:04:08.450,2010-11-18T21:04:08.450,,23,,23,1,2,15,,,,"When I'm thinking about where I learned most how to write, I think that reading was the most important guide to me. This may sound silly, but by reading good written newspaper articles (facts, opinions, scientific articles and most of all, criticisms of films and music), I learned how others did the job, what works and what doesn't. In my own writing, I try to mimic other people's styles that I liked. Moreover, I learn new things by reading, giving me a broader background that I need when reflecting a certain topic.
Every now and then I still read the free, local tabloid and recognize many mistakes I would have made when I would not have read quality material earlier in life. Of course there are books about journalistic writing and I read some (titles will be added later), but I guess that reading forms the best learning school until today.
I now see that I didn't answer your actual question about online guides, but I hope it's helpful after all.
"
11,,,"<p>With a story in first person, you are intending the reader to become much more attached to the main character.  Since the reader sees what that character sees and feels what that character feels, the reader will have an emotional investment in that character.  Third person does not have this close tie; a reader can become emotionally invested but it will not be as strong as it will be in first person.</p>

<p>Contrarily, you cannot have multiple point characters when you use first person without extremely clever craftsmanship.  You could not subtly move from one perspective to another, and even risk confusing the reader when you do so, which is one of the most egregious crimes any writer can commit.  First person stories cannot have the main character die except at the very end, whereas third person stories may be able to use the possible imminent death of any given character as a means for suspense.</p>

<p>Generally, it's a case of emotional attachment vs. utility.  It is plain easier to write in the third person, but if you can pull off first person and your story is a good fit for it, it can be a very powerful tool.</p>
",,9,,2010-11-18T20:51:07.537,,16,2010-11-18T20:51:07.537,,,,,7,2,2,13,,,,"With a story in first person, you are intending the reader to become much more attached to the main character.  Since the reader sees what that character sees and feels what that character feels, the reader will have an emotional investment in that character.  Third person does not have this close tie; a reader can become emotionally invested but it will not be as strong as it will be in first person.
Contrarily, you cannot have multiple point characters when you use first person without extremely clever craftsmanship.  You could not subtly move from one perspective to another, and even risk confusing the reader when you do so, which is one of the most egregious crimes any writer can commit.  First person stories cannot have the main character die except at the very end, whereas third person stories may be able to use the possible imminent death of any given character as a means for suspense.
Generally, it's a case of emotional attachment vs. utility.  It is plain easier to write in the third person, but if you can pull off first person and your story is a good fit for it, it can be a very powerful tool.
"
12,32,9,"<p>I write a daily piece and have been doing so for over 8 years. I think my writing has gotten better, but I still find mistakes at times, or more likely, my readers find mistakes.</p>

<p>Does anyone have good tricks for self-editing? Any tools? I spell check and use Word for grammar checking, but it doesn't seem to work so well and the pace of writing makes it hard to use anyone for editing on a regular basis.</p>
",,3,,2010-11-18T20:55:11.123,11,18,2012-02-04T20:28:07.773,,,,,33,,1,32,<editing>,Self Editing tips/tricks,967,"I write a daily piece and have been doing so for over 8 years. I think my writing has gotten better, but I still find mistakes at times, or more likely, my readers find mistakes.
Does anyone have good tricks for self-editing? Any tools? I spell check and use Word for grammar checking, but it doesn't seem to work so well and the pace of writing makes it hard to use anyone for editing on a regular basis.
"
13,34,3,"<p>I recently began writing poetry again.  I would like to look into submitting my poems to a magazine.  </p>

<p>Where can I find a list of literary magazines through which I could sort to find a possible fit?</p>
",,0,,2010-11-18T20:55:59.683,4,19,2014-01-01T16:25:39.707,,,,,20,,1,15,<poetry><publishing><magazines>,Lists of Suggested Magazines to Submit To,421,"I recently began writing poetry again.  I would like to look into submitting my poems to a magazine.  
Where can I find a list of literary magazines through which I could sort to find a possible fit?
"
14,,,"<p>Some tricks here: <a href=""http://www.tobiasbuckell.com/2008/04/07/how-i-write-a-novel-revisited/"" rel=""nofollow"">http://www.tobiasbuckell.com/2008/04/07/how-i-write-a-novel-revisited/</a></p>

<p>Tobias tends to work offline, using post-its for notes. He then organizes these and uses them as a starting point for an outline. He then uses Scrivener for organization.</p>
",,2,2010-11-27T07:56:56.470,2010-11-18T20:57:01.450,,21,2010-11-19T00:02:19.210,2010-11-19T00:02:19.210,,33,,33,9,2,4,,,,"Some tricks here: http://www.tobiasbuckell.com/2008/04/07/how-i-write-a-novel-revisited/
Tobias tends to work offline, using post-its for notes. He then organizes these and uses them as a starting point for an outline. He then uses Scrivener for organization.
"
15,,,"<p>""Pantsing"" refers to simply writing a story without much, if any, preparation or pre-writing -- just writing down whatever comes to you, and letting the story go (and wander) wherever it feels like at the moment you're writing it down.</p>

<p>As for etymology, I'm not sure where it comes from. In general, ""pantsing"" refers to a prank in which you pull someone's pants down, but I'm not sure how that plays into the idea of writing (aside from the fact that both can be surprising).</p>
",,3,,2010-11-18T20:57:47.880,,22,2010-11-18T20:57:47.880,,,,,10,11,2,17,,,,"""Pantsing"" refers to simply writing a story without much, if any, preparation or pre-writing -- just writing down whatever comes to you, and letting the story go (and wander) wherever it feels like at the moment you're writing it down.
As for etymology, I'm not sure where it comes from. In general, ""pantsing"" refers to a prank in which you pull someone's pants down, but I'm not sure how that plays into the idea of writing (aside from the fact that both can be surprising).
"
16,,,"<p>You might want to check out <a href=""http://www.pw.org/"" rel=""nofollow"">Poets &amp; Writers</a>. It is a bi-monthly magazine.</p>

<p>And as it says on their home page:</p>

<p>""If you’re looking for writing competitions, or literary magazines and small presses that welcome both new and established writers, begin here.""</p>
",,0,,2010-11-18T21:00:16.077,,24,2014-01-01T16:25:39.707,2014-01-01T16:25:39.707,,2074,,35,19,2,4,,,,"You might want to check out Poets & Writers. It is a bi-monthly magazine.
And as it says on their home page:
""If you’re looking for writing competitions, or literary magazines and small presses that welcome both new and established writers, begin here.""
"
17,,,"<p>There's <a href=""http://www.writerscafe.co.uk/"" rel=""nofollow"" rel=""nofollow"">Writer's Cafe</a>. It has many features that support writing. </p>

<p>Here is a description from the website:</p>

<blockquote>
  <p>Writer's Café is a set of power tools
  for all fiction writers, whether
  experienced or just starting out. The
  heart of Writer's Café is StoryLines,
  a powerful but simple to use story
  development tool that dramatically
  accelerates the creation and
  structuring of your novel or
  screenplay.</p>
  
  <p>Writer's Café also
  includes a notebook, journal, research
  organiser, pinboard, inspirational
  quotations, daily writing tips,
  writing exercises, name generation,
  and a 60-page e-book, Fiction: The
  Facts, distilling 20 years of writing
  experience.</p>
  
  <p>Runs on small laptops such as the Eee
  PC - Windows and Linux.
  Writer's Café is designed to be a
  playground for the imagination, making
  writing fiction fun and fulfilling.
  But it's also a serious tool for
  professionals, with highly
  configurable formatting, import/export
  and reporting facilities.</p>
</blockquote>
",,0,2010-11-27T07:56:56.470,2010-11-18T21:00:46.107,,25,2011-03-26T21:10:04.493,2011-03-26T21:10:04.493,,228,,30,9,2,4,,,,"There's Writer's Cafe. It has many features that support writing. 
Here is a description from the website:

Writer's Café is a set of power tools
  for all fiction writers, whether
  experienced or just starting out. The
  heart of Writer's Café is StoryLines,
  a powerful but simple to use story
  development tool that dramatically
  accelerates the creation and
  structuring of your novel or
  screenplay.
Writer's Café also
  includes a notebook, journal, research
  organiser, pinboard, inspirational
  quotations, daily writing tips,
  writing exercises, name generation,
  and a 60-page e-book, Fiction: The
  Facts, distilling 20 years of writing
  experience.
Runs on small laptops such as the Eee
  PC - Windows and Linux.
  Writer's Café is designed to be a
  playground for the imagination, making
  writing fiction fun and fulfilling.
  But it's also a serious tool for
  professionals, with highly
  configurable formatting, import/export
  and reporting facilities.

"
18,,,"<p>Rather than focusing on a single point as if you are writing an essay, you may want to focus on an ethos you want to create.  </p>

<p>View your story as <strong>world-building</strong> (this is something you will find Orson Scott Card, author of <em>Ender's Game</em> reference frequently).  The world you are building will reward certain behaviors by your characters and punish others.  The world you are building may have a certain ""bent,"" to it.  </p>

<p>As an example, the in Ellison's <em>The Invisible Man</em>, all sorts of random things happen to the protagonist that end up making his life more complicated.  The result is a story that leaves the reader feeling as if the entire world of the story was meaningless and nihilistic.  Rather than hitting the reader over the head with nihilism, Ellison <em>showed</em> the reader a nihilistic world.</p>

<p>It is also possible to construct an absolutely wonderful story that does not try to move the reader towards seeing the world in a different way.  In writing these stories the author is usually focused on showing the reader a specific character in all of his or her loves, wants, needs, desires, dreams, and fears.  These characters don't necessarily have to drive towards a point in their existence in the story.  They have to <em>be themselves</em>.</p>

<p>You can combine both of the above, or use just one for a successful story.  In many ways Victorian novels and good science fiction or fantasty epitomize world-building, while modern short stories such as <em>Olive Kitteridge</em> move towards the opposite end of the spectrum.</p>

<p>And then again, you can write a plot-driven work of pure action fiction - it works for some writers.</p>
",,0,,2010-11-18T21:03:57.600,,26,2010-11-19T13:25:18.900,2010-11-19T13:25:18.900,,20,,20,5,2,11,,,,"Rather than focusing on a single point as if you are writing an essay, you may want to focus on an ethos you want to create.  
View your story as world-building (this is something you will find Orson Scott Card, author of Ender's Game reference frequently).  The world you are building will reward certain behaviors by your characters and punish others.  The world you are building may have a certain ""bent,"" to it.  
As an example, the in Ellison's The Invisible Man, all sorts of random things happen to the protagonist that end up making his life more complicated.  The result is a story that leaves the reader feeling as if the entire world of the story was meaningless and nihilistic.  Rather than hitting the reader over the head with nihilism, Ellison showed the reader a nihilistic world.
It is also possible to construct an absolutely wonderful story that does not try to move the reader towards seeing the world in a different way.  In writing these stories the author is usually focused on showing the reader a specific character in all of his or her loves, wants, needs, desires, dreams, and fears.  These characters don't necessarily have to drive towards a point in their existence in the story.  They have to be themselves.
You can combine both of the above, or use just one for a successful story.  In many ways Victorian novels and good science fiction or fantasty epitomize world-building, while modern short stories such as Olive Kitteridge move towards the opposite end of the spectrum.
And then again, you can write a plot-driven work of pure action fiction - it works for some writers.
"
19,,,"<p>I've been using <a href=""http://www.literatureandlatte.com/scrivener.php"" rel=""nofollow"">Scrivener</a>, which is available as a free beta for NaNoWriMo participants.</p>

<p>It's a writer's project organizational tool that allows you to have many different associated files, and to view more than one on the same screen. For example, you could open a file about a particular character while writing about them, have an outline open while you work on non-fiction, etc. You can also move pieces (smaller files) around easily to rearrange parts of a work. When you're done, you can compile your manuscript to multiple formats: plain text, Word, et cetera. </p>
",,3,2010-11-27T07:56:56.470,2010-11-18T21:04:15.230,,27,2012-03-06T05:15:26.283,2012-03-06T05:15:26.283,,26,,38,9,2,38,,,,"I've been using Scrivener, which is available as a free beta for NaNoWriMo participants.
It's a writer's project organizational tool that allows you to have many different associated files, and to view more than one on the same screen. For example, you could open a file about a particular character while writing about them, have an outline open while you work on non-fiction, etc. You can also move pieces (smaller files) around easily to rearrange parts of a work. When you're done, you can compile your manuscript to multiple formats: plain text, Word, et cetera. 
"
20,,,"<p>You can read the story aloud. Some errors are better found when you hear them. </p>

<p>You can also record your own voice and listen to it later.</p>

<p>Next, is to have somebody else read the story.</p>
",,3,,2010-11-18T21:05:58.607,,29,2010-11-18T21:05:58.607,,,,,19,18,2,14,,,,"You can read the story aloud. Some errors are better found when you hear them. 
You can also record your own voice and listen to it later.
Next, is to have somebody else read the story.
"
21,71,6,"<p>As a NaNoWriMo participant, I've been trying to meet a rather ambitious 1667 word/day goal. I've heard that professionals do a lot less, but the first two days of this month, I actually wrote 5000 words/day, so I know it's possible. Quantity over quality? What's a reasonable, sustainable word count?</p>
",,3,,2010-11-18T21:08:44.787,3,30,2012-12-21T18:03:17.573,2010-11-18T21:12:40.800,,26,,38,,1,11,<discipline><daily><goal><nanowrimo><wordcount>,What is a good daily word count goal?,9144,"As a NaNoWriMo participant, I've been trying to meet a rather ambitious 1667 word/day goal. I've heard that professionals do a lot less, but the first two days of this month, I actually wrote 5000 words/day, so I know it's possible. Quantity over quality? What's a reasonable, sustainable word count?
"
22,,,"<p>Try and find a list of agents who write in your genre. Check out their websites!
Find out if they are accepting new clients. If they aren't, then check out another agent. But if they are, try sending them a few chapters from your story, a brief, and a short cover letter asking them to represent you.</p>

<p>In the cover letter mention your previous publication credits. If sent via post, then I suggest you give them a means of reply, whether it be an email or a stamped, addressed envelope.</p>

<p>Agents will try their best to improve your chances of getting a book published.</p>
",,1,,2010-11-18T21:08:45.487,,31,2016-02-15T21:14:37.910,2016-02-15T21:14:37.910,,16829,,35,3,2,11,,,,"Try and find a list of agents who write in your genre. Check out their websites!
Find out if they are accepting new clients. If they aren't, then check out another agent. But if they are, try sending them a few chapters from your story, a brief, and a short cover letter asking them to represent you.
In the cover letter mention your previous publication credits. If sent via post, then I suggest you give them a means of reply, whether it be an email or a stamped, addressed envelope.
Agents will try their best to improve your chances of getting a book published.
"
23,,,"<p>While it's not possible for your specific predicament, the question you actually ask is much broader than that.</p>

<p>Put the writing away long enough to forget your state of mind while you were writing it, then re-read it.  For some people this could be as short as a day, but I have to wait closer to a month before re-reading what I've written for all the subtle things I could have done better to stand out.</p>

<p>I know that professional author Stephen King says he adheres to a strict schedule when writing.  He writes all morning, then reviews all of the previous day's work that afternoon.  This way he has plenty of time and other writing-related activities between writing and revising that piece of his story.</p>
",,2,,2010-11-18T21:09:39.277,,32,2010-11-18T21:09:39.277,,,,,7,18,2,23,,,,"While it's not possible for your specific predicament, the question you actually ask is much broader than that.
Put the writing away long enough to forget your state of mind while you were writing it, then re-read it.  For some people this could be as short as a day, but I have to wait closer to a month before re-reading what I've written for all the subtle things I could have done better to stand out.
I know that professional author Stephen King says he adheres to a strict schedule when writing.  He writes all morning, then reviews all of the previous day's work that afternoon.  This way he has plenty of time and other writing-related activities between writing and revising that piece of his story.
"
24,,,"<p>Writer's Market publishes a few different books, including one for poets, which include listings of publishers, agents, magazines, contests, anthologies, etc.</p>

<p>You can find them in most major bookstores. They come out once a year, but there are also listings available on their paid-subscription website: <a href=""http://www.writersmarket.com/"">http://www.writersmarket.com/</a> . It's worthwhile noting that when you buy the book, you get a paid subscription for a year.</p>

<p>Generally speaking it focuses on the American/Canadian markets, and I'm not sure if there's something similar for the UK/Australia/New Zealand/Other English Markets.</p>
",,0,,2010-11-18T21:10:41.973,,34,2010-11-18T21:10:41.973,,,,,15,19,2,5,,,,"Writer's Market publishes a few different books, including one for poets, which include listings of publishers, agents, magazines, contests, anthologies, etc.
You can find them in most major bookstores. They come out once a year, but there are also listings available on their paid-subscription website: http://www.writersmarket.com/ . It's worthwhile noting that when you buy the book, you get a paid subscription for a year.
Generally speaking it focuses on the American/Canadian markets, and I'm not sure if there's something similar for the UK/Australia/New Zealand/Other English Markets.
"
25,,,"<p><strong>Print your work.</strong></p>

<p>I've found that proof-reading a hard-copy is much more effective than proof-reading off a computer screen.</p>
",,4,,2010-11-18T21:11:03.723,,35,2010-11-18T21:11:03.723,,,,,27,18,2,19,,,,"Print your work.
I've found that proof-reading a hard-copy is much more effective than proof-reading off a computer screen.
"
26,,,"<p>This may be an extremely subjective answer, but i find it easiest to get a chapter or two done, rather than a word count. It means there is a complete section to get a family member to read over, and if there is spare time in my sitting, i can go through and edit it.</p>

<p>If you don't finish the chapter, just try finishing it (and the next chapter) the next day!</p>
",,0,,2010-11-18T21:14:00.333,,36,2010-11-18T21:14:00.333,,,,,35,30,2,6,,,,"This may be an extremely subjective answer, but i find it easiest to get a chapter or two done, rather than a word count. It means there is a complete section to get a family member to read over, and if there is spare time in my sitting, i can go through and edit it.
If you don't finish the chapter, just try finishing it (and the next chapter) the next day!
"
27,,,"<p>An apocryphal story about Joyce</p>

<blockquote>A friend once found him sprawled across his desk, a figure of utter despair. 

""How many words have you written today?"" he asked him.  <br />

""Seven,"" the great man answered. <br />

""But that’s good for you, isn’t it?"" <br />

""I suppose so,"" Joyce answered. ""It’s just that I don’t know what order they go in.""</blockquote>

<p>Copied from <a href=""http://www.colinfalconer.net/1/post/2010/8/ten-great-writing-tips-from-ten-great-writers.html"">here</a></p>

<p>I think 1,000 a day is pretty good, if you're consistent.  A day with 5,000 is possible, but probably not sustainable for most people.  1,000 every day is better than 5,000 once every two weeks.</p>
",,0,,2010-11-18T21:14:29.757,,37,2010-11-18T21:14:29.757,,,,,44,30,2,10,,,,"An apocryphal story about Joyce
A friend once found him sprawled across his desk, a figure of utter despair. 

""How many words have you written today?"" he asked him.  

""Seven,"" the great man answered. 

""But that’s good for you, isn’t it?"" 

""I suppose so,"" Joyce answered. ""It’s just that I don’t know what order they go in.""
Copied from here
I think 1,000 a day is pretty good, if you're consistent.  A day with 5,000 is possible, but probably not sustainable for most people.  1,000 every day is better than 5,000 once every two weeks.
"
28,44,6,"<p>In today's frenetic, fast-paced lifestyle (especially if writing is not currently your career or means of earning an income), it can be extremely difficult to ""make"" or find the time that can be set aside and dedicated to writing.  Not only that, but in this information age, there are <em>so many</em> distractions ready to destroy what focus there is.</p>

<p>Obviously this hinges on motivation and drive, but nonetheless I have to ask: what means and methods do others use to foster and maintain discipline around their writing?</p>
",,0,,2010-11-18T21:16:00.690,13,38,2012-01-28T13:55:11.323,2012-01-28T13:55:11.323,,16,,16,,1,26,<discipline><technique>,Writing discipline,807,"In today's frenetic, fast-paced lifestyle (especially if writing is not currently your career or means of earning an income), it can be extremely difficult to ""make"" or find the time that can be set aside and dedicated to writing.  Not only that, but in this information age, there are so many distractions ready to destroy what focus there is.
Obviously this hinges on motivation and drive, but nonetheless I have to ask: what means and methods do others use to foster and maintain discipline around their writing?
"
29,,,"<p>Writing in the first person is harder. </p>

<p>Keep in mind that in the first person writing, the main character is also the narrator. He shouldn't be all knowing. It is easier to put down your (character's) thoughts and you can also deceive and lie! (That I like the most. :) )</p>

<p>We also cannot see onto other characters minds, so we can't know how they really feel about our narrator. </p>
",,2,,2010-11-18T21:18:49.147,,39,2012-01-19T13:23:59.493,2012-01-19T13:23:59.493,,553,,46,2,2,3,,,,"Writing in the first person is harder. 
Keep in mind that in the first person writing, the main character is also the narrator. He shouldn't be all knowing. It is easier to put down your (character's) thoughts and you can also deceive and lie! (That I like the most. :) )
We also cannot see onto other characters minds, so we can't know how they really feel about our narrator. 
"
30,160,4,"<p>I have to write a synopsis to submit to an agent. Are there any guidelines for writing a good synopsis?</p>
",,0,,2010-11-18T21:19:19.843,6,40,2017-01-22T14:11:51.830,2010-11-26T13:06:53.777,,99,,25,,1,24,<publishing><agent>,How do I write a synopsis?,394,"I have to write a synopsis to submit to an agent. Are there any guidelines for writing a good synopsis?
"
31,101,13,"<p>I've always had trouble determining whether my chapters are within the same size realm as chapters in standard books.  Since it isn't exactly feasible to count the number of words in a chapter of published work, I've always just guessed.</p>

<p>Recently, my chapters have been between 3000-5000 words.  How does this compare to chapters in published novels?</p>
",,5,,2010-11-18T21:23:19.410,10,41,2016-10-31T00:13:46.340,2013-02-10T07:26:22.363,,16,,7,,1,37,<wordcount>,What is a normal length for a chapter?,152287,"I've always had trouble determining whether my chapters are within the same size realm as chapters in standard books.  Since it isn't exactly feasible to count the number of words in a chapter of published work, I've always just guessed.
Recently, my chapters have been between 3000-5000 words.  How does this compare to chapters in published novels?
"
32,,,"<p>It depends. Personally, I aim for one to two thousand words a day. I know of one professional writer who goes for three thousand words a day (but, as she pointed out to me, this is her day job).</p>
",,0,,2010-11-18T21:23:31.273,,42,2010-11-18T21:23:31.273,,,,,25,30,2,7,,,,"It depends. Personally, I aim for one to two thousand words a day. I know of one professional writer who goes for three thousand words a day (but, as she pointed out to me, this is her day job).
"
33,,,"<p>I rely on two tactics to achieve steady progress in writing (I'll answer twice for voting ease).</p>

<p>The first is sort of obvious - <b>write every day</b>. I fell into a trap at one time where I felt that if I couldn't block off at least a few hours for writing that it was better to not bother. As a result, I would sometimes go for weeks without writing (that doesn't make editors too happy).</p>

<p>Eventually, I forced myself to write every day - even if I knew I could only write for 15-30 minutes (which almost always expanded into longer chunks of time). Now, when I have writing projects, I make sure I write every day - even if it's just edits or a sentence or two. For me, a lot of writing happens somewhere in the back of my mind when I'm away from a keyboard, and writing every day keeps those ideas moving.</p>
",,2,,2010-11-18T21:23:51.493,,44,2010-11-18T21:23:51.493,,,,,47,38,2,20,,,,"I rely on two tactics to achieve steady progress in writing (I'll answer twice for voting ease).
The first is sort of obvious - write every day. I fell into a trap at one time where I felt that if I couldn't block off at least a few hours for writing that it was better to not bother. As a result, I would sometimes go for weeks without writing (that doesn't make editors too happy).
Eventually, I forced myself to write every day - even if I knew I could only write for 15-30 minutes (which almost always expanded into longer chunks of time). Now, when I have writing projects, I make sure I write every day - even if it's just edits or a sentence or two. For me, a lot of writing happens somewhere in the back of my mind when I'm away from a keyboard, and writing every day keeps those ideas moving.
"
34,,,"<p>I've heard from pro writer friends that Scrivener is very good, but it is only only for the Mac right now. I've also heard that there is a Windows version coming out soon.</p>
",,1,2010-11-27T07:56:56.470,2010-11-18T21:25:50.567,,45,2010-11-18T21:25:50.567,,,,,25,9,2,2,,,,"I've heard from pro writer friends that Scrivener is very good, but it is only only for the Mac right now. I've also heard that there is a Windows version coming out soon.
"
